,Octobre 2018,Octobre 2019,Octobre 2020,Octobre 2021,Octobre 2022,Octobre 2023,Octobre 2024,Octobre 2025
LE LANDREAU ,666,660,673,706,729,735,765,730
SAINT GILDAS DES BOIS ,301,311,308,313,312,322,353,380
NORT SUR ERDRE,219,233,236,237,230,224,224,242
SAINT MOLF,200,204,191,168,153,189,192,201
MACHECOUL ,262,280,304,301,313,309,345,346
ANCENIS ,273,288,287,278,287,262,288,293
CHATEAUBRIANT ,108,107,119,134,122,118,136,150
GORGES,435,450,469,478,446,497,525,544
LE PELLERIN ,343,317,298,330,339,318,280,285
DERVAL - BLAIN,506,461,428,443,443,437,491,505
CHOLET,161,162,188,234,242,261,275,282
ANGERS Les Buissonnets,329,324,346,356,359,368,387,374
CHEMILLE,249,251,260,266,283,283,288,298
LES PONTS DE CE ,549,547,472,485,488,520,530,507
ANGERS Agritec,132,143,160,162,159,153,157,163
EVRON ,211,199,179,162,144,133,116,101
BAZOUGES-CHATEAU GONTIER,187,190,205,205,219,230,256,300
MAYENNE ,461,461,448,421,440,397,409,420
RUILLE SUR LOIR ,173,141,117,119,107,129,119,129
LA FERTE BERNARD,164,162,176,184,178,190,194,214
SABLE SUR SARTHE,476,411,364,352,323,326,301,309
LA ROCHE SUR YON,442,457,497,482,479,494,513,466
TOTAL,6 847,6 759,6 725,6 816,6 795,6 895,7 144,7 239
